name,V0001T8B1,V0002T8B1,V0003T8B1,V0004T8B1,V0005T8B1,V0006T8B1,V0007T8B1,V0008T8B1,V0009T8B1,V0010T8B1,V0011T8B1,V0012T8B1,V0013T8B1,V0014T8B1,V0015T8B1,V0016T8B1,id
Sdc1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,171158
Lad1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,38760
Csnk1a1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,165721
Eif3f,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,33342
Laptm5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,151698
Cd83,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,221359
Timp2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,17610
Serping1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,23994
Col1a2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,31668
Foxq1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,42118
Aqp3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,55327
Csf3r,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,30673
Ccr1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,26911
Cxcr2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,106899
Esam,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2011
Aqp1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4774
Cdh5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,34339
Cd300lg,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,17453
Gimap6,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,53661
Plvap,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,48452
Slc12a1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,110495
Kcnj1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,47334
Pth1r,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,198865
Lrp2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,80953
Pld4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,63888
Unc93b1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,162708
Psap,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,165878
Kcnj16,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,106636
Klrb1c,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,167691
Selplg,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,100874
Itgb2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,299
Bcam,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,3061
Cald1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,115021
Tinagl1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,105999
Gm2a,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,608
Npc2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,21668
Dpt,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,27861
Cygb,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,21166
Lhfp,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,59562
Csf1r,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,25523
Ctsc,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,32779
Cd53,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,38845
Pecam1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,103069
Eng,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,113272
Trim47,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,106441
Txlnb,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,37964
Obscn,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,132238
Ryr2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,21750
Lck,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,67240
Satb1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,133574
Hvcn1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,72602
Csk,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,217314
Apobec3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,177098
Shisa5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,26737
Gimap4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,90070
Il7r,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3981
Ms4a1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,169159
Bank1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,41577
Tnfrsf13c,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,89161
Gimap3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,204036
Fyb,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,90461
Mpeg1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,81035
Grn,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,49460
Tcf4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,78486
Nrp1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,26917
Dnase1l3,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,26315
Gpr182,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,79692
Cybb,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,15484
Cd44,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5218
Mrc1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,28045
Gnai2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,55704
Kctd12,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,184744
Smpdl3a,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,20022
Itgal,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,106306
Ace,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1963
Calcrl,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,74262
Epas1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,24954
Cav2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,58
Serpinh1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,207849
Col6a1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1147
Stk17b,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,27263
Ssh2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,37912
Itgb7,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1327
Alas1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,134053
Psmd3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17365
Akap14,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,46557
Slc34a2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,94787
Alcam,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,23312
Lamp3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,81880
Ccr2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,165984
Tkt,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,225857
Ncf1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,111275
F13a1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,164727
Cd177,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,63956
Mmp9,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,17881
