name,V0001T8B1,V0002T8B1,V0003T8B1,V0004T8B1,V0005T8B1,V0006T8B1,V0007T8B1,V0008T8B1,V0009T8B1,V0010T8B1,V0011T8B1,V0012T8B1,V0013T8B1,V0014T8B1,V0015T8B1,V0016T8B1,V0017T8B1,V0018T8B1,id
SATB2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,ENST00000614512
CUX2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENST00000261726
RORB,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,ENST00000376896
CDH6,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,ENST00000265071
FEZF2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,ENST00000283268
PDGFD,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,ENST00000393158
LAMP5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,ENST00000246070
VIP,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,ENST00000367244
LHX6,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,ENST00000373754
PRRT4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,ENST00000480290
ANK1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,ENST00000289734
SLC32A1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,ENST00000217420
BTBD11,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,ENST00000357167
GRIP2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ENST00000621039
DLX1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,ENST00000341900
GAD2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,ENST00000376261
CD22,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,ENST00000085219
MOG,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,ENST00000376917
CTSS,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,ENST00000448301
NOSTRIN,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,ENST00000445023
DCN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,ENST00000393155
ETNPPL,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,ENST00000296486
ID3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,ENST00000374561
